,cds,ccode,enroll_12,num_act,act_pass_21,num_sat_12,sat_pass_12,enroll_11,num_sat_11,sat_pass_11,act_pt_r,act_ps_r,sat_pt_r_12,sat_ps_r_12,sat_pt_r_11,sat_ps_r_11,sat_pt_r,sat_ps_r
386,37764710114694,37.0,95.0,24.0,13,58.0,24.0,83.0,55.0,42.0,0.12631578947368421,0.1368421052631579,0.6105263157894737,0.41379310344827586,0.6626506024096386,0.7636363636363637,0.6348314606741573,0.3707865168539326
387,19647330100677,19.0,90.0,15.0,6,63.0,42.0,91.0,62.0,46.0,0.08333333333333333,0.06666666666666667,0.7,0.6666666666666666,0.6813186813186813,0.7419354838709677,0.6906077348066298,0.4861878453038674
388,15635291533330,15.0,477.0,22.0,10,162.0,47.0,478.0,86.0,45.0,0.023060796645702306,0.020964360587002098,0.33962264150943394,0.29012345679012347,0.1799163179916318,0.5232558139534884,0.25968586387434556,0.09633507853403141
389,19642461995398,19.0,691.0,25.0,12,161.0,57.0,598.0,540.0,91.0,0.01808972503617945,0.017366136034732273,0.23299565846599132,0.35403726708074534,0.903010033444816,0.1685185185185185,0.543832428238945,0.11481768813033359
390,19647330126474,19.0,67.0,20.0,2,41.0,4.0,44.0,37.0,3.0,0.14925373134328357,0.029850746268656716,0.6119402985074627,0.0975609756097561,0.8409090909090909,0.08108108108108109,0.7027027027027027,0.06306306306306306
391,33669770125732,33.0,391.0,17.0,11,123.0,55.0,415.0,354.0,124.0,0.021739130434782608,0.028132992327365727,0.3145780051150895,0.44715447154471544,0.8530120481927711,0.3502824858757062,0.5918114143920595,0.22208436724565755
392,41690474133070,41.0,356.0,65.0,55,151.0,109.0,374.0,149.0,128.0,0.09129213483146068,0.1544943820224719,0.4241573033707865,0.7218543046357616,0.3983957219251337,0.8590604026845637,0.410958904109589,0.32465753424657534
393,37684113732849,37.0,599.0,73.0,36,188.0,92.0,511.0,148.0,91.0,0.06093489148580968,0.06010016694490818,0.31385642737896496,0.48936170212765956,0.2896281800391389,0.6148648648648649,0.3027027027027027,0.16486486486486487
394,24656982432409,24.0,154.0,26.0,11,46.0,16.0,178.0,66.0,32.0,0.08441558441558442,0.07142857142857142,0.2987012987012987,0.34782608695652173,0.3707865168539326,0.48484848484848486,0.3373493975903614,0.14457831325301204
395,34674393434636,34.0,364.0,28.0,1,55.0,14.0,366.0,314.0,37.0,0.038461538461538464,0.0027472527472527475,0.1510989010989011,0.2545454545454545,0.8579234972677595,0.1178343949044586,0.5054794520547945,0.06986301369863014
396,19647331934033,19.0,334.0,48.0,21,174.0,61.0,320.0,309.0,89.0,0.0718562874251497,0.06287425149700598,0.5209580838323353,0.3505747126436782,0.965625,0.28802588996763756,0.7385321100917431,0.22935779816513763
397,13631491335306,13.0,138.0,29.0,9,51.0,18.0,128.0,42.0,18.0,0.10507246376811594,0.06521739130434782,0.3695652173913043,0.35294117647058826,0.328125,0.42857142857142855,0.34962406015037595,0.13533834586466165
398,43694684333316,43.0,605.0,197.0,185,179.0,158.0,602.0,334.0,322.0,0.1628099173553719,0.30578512396694213,0.2958677685950413,0.88268156424581,0.5548172757475083,0.9640718562874252,0.4250207125103563,0.3976801988400994
399,37683383732997,37.0,489.0,206.0,49,201.0,53.0,518.0,219.0,59.0,0.21063394683026584,0.10020449897750511,0.4110429447852761,0.263681592039801,0.42277992277992277,0.2694063926940639,0.4170804369414101,0.1112214498510427
400,56725465632849,56.0,491.0,30.0,13,402.0,63.0,435.0,365.0,54.0,0.03054989816700611,0.026476578411405296,0.8187372708757638,0.15671641791044777,0.8390804597701149,0.14794520547945206,0.82829373650108,0.1263498920086393
401,30665483032943,30.0,718.0,205.0,159,270.0,202.0,727.0,304.0,269.0,0.14275766016713093,0.2214484679665738,0.37604456824512533,0.7481481481481481,0.41815680880330125,0.8848684210526315,0.3972318339100346,0.3259515570934256
